,frequency,frequency_ham,frequency_spam
deal,3655,3549,106
pleas,3243,2737,506
ga,3034,2861,173
meter,2721,2718,3
thank,2304,2125,179
need,2081,1730,351
daren,1901,1901,0
forward,1832,1608,224
price,1813,1081,732
corp,1776,1710,66
volum,1691,1668,23
know,1618,1458,160
day,1549,1292,257
new,1435,1003,432
compani,1429,511,918
mmbtu,1408,1408,0
product,1403,940,463
may,1382,961,421
chang,1354,1242,112
inform,1297,740,557
see,1228,1033,195
attach,1195,1169,26
let,1186,1104,82
nom,1186,1185,1
contract,1182,1129,53
time,1169,720,449
farmer,1156,1139,17
month,1098,937,161
messag,1069,752,317
nomin,1035,1016,19
mail,1023,709,314
xl,1020,1020,0
call,1006,830,176
sale,994,766,228
one,988,583,405
follow,971,853,118
flow,970,944,26
use,950,565,385
juli,921,897,24
question,916,873,43
robert,904,891,13
email,896,383,513
sitara,861,861,0
ticket,854,831,23
want,845,580,265
file,834,747,87
look,830,460,370
texa,827,796,31
servic,812,510,302
energi,807,664,143
work,800,538,262
manag,798,637,161
report,788,475,313
list,783,573,210
number,776,548,228
sent,774,637,137
pec,752,752,0
ena,732,732,0
purchas,716,639,77
bob,710,706,4
actual,706,636,70
make,693,444,249
contact,683,414,269
order,681,413,268
receiv,676,472,204
market,673,377,296
origin,671,605,66
net,667,446,221
busi,663,362,301
take,649,424,225
system,637,432,205
back,616,453,163
effect,615,498,117
provid,606,343,263
schedul,604,594,10
account,593,343,250
avail,591,341,250
daili,586,563,23
help,586,454,132
secur,585,86,499
statement,584,87,497
per,578,455,123
includ,578,309,269
alloc,571,567,4
well,571,434,137
request,567,488,79
mari,565,553,12
gari,564,561,3
current,561,419,142
march,549,515,34
deliveri,547,498,49
stock,547,80,467
offer,542,176,366
trade,539,368,171
transport,532,511,21
offic,531,271,260
april,528,512,16
issu,528,478,50
invest,525,52,473
today,525,312,213
first,523,363,160
oper,523,359,164
week,519,377,142
rate,518,364,154
font,517,2,515
inc,517,249,268
free,516,202,314
set,516,430,86
year,513,304,209
plant,511,493,18
line,504,294,210
show,498,409,89
base,496,317,179
custom,492,304,188
name,489,340,149
addit,488,395,93
activ,477,417,60
creat,474,415,59
click,464,203,261
date,462,365,97
process,462,331,131
melissa,462,462,0
meet,460,395,65
agreement,459,398,61
revis,459,451,8
houston,456,449,7
send,455,301,154
fuel,454,443,11
group,453,346,107
vanc,446,444,2
teco,444,444,0
oil,441,292,149
ami,436,429,7
point,435,385,50
last,433,290,143
within,431,118,313
tenaska,431,431,0
june,427,406,21
america,426,356,70
next,424,296,128
expect,422,172,250
think,420,355,65
januari,419,356,63
nbsp,418,0,418
georg,417,406,11
north,414,361,53
note,408,317,91
address,403,220,183
confirm,402,329,73
enter,400,327,73
smith,399,390,9
pat,398,398,0
term,398,258,140
total,392,305,87
two,391,264,127
path,391,390,1
less,391,290,101
updat,390,329,61
start,389,271,118
regard,386,255,131
save,384,108,276
desk,383,368,15
phone,382,240,142
plan,381,299,82
pipelin,380,377,3
give,380,261,119
come,379,254,125
complet,378,243,135
jacki,377,375,2
continu,373,252,121
check,372,266,106
best,370,116,254
due,368,255,113
height,365,2,363
high,364,176,188
develop,364,205,159
fax,362,253,109
mark,362,338,24
made,358,208,150
find,358,228,130
link,357,135,222
aime,357,357,0
place,357,245,112
pill,357,0,357
problem,356,281,75
money,356,60,296
special,353,123,230
onlin,353,95,258
tri,352,225,127
project,350,131,219
gener,349,152,197
lisa,349,348,1
hour,347,194,153
estim,346,245,101
transact,346,271,75
tap,345,343,2
size,344,16,328
requir,343,187,156
michael,343,329,14
team,341,293,48
david,339,333,6
review,338,246,92
octob,338,331,7
friday,338,307,31
state,336,181,155
susan,336,335,1
futur,334,104,230
august,332,318,14
hsc,330,330,0
end,330,263,67
remov,329,60,269
pay,329,210,119
move,326,220,106
interest,326,152,174
home,323,169,154
cotten,321,321,0
buy,319,178,141
john,319,302,17
person,317,203,114
util,316,297,19
taylor,315,313,2
discuss,313,259,54
increas,313,174,139
counterparti,313,313,0
megan,312,310,2
mani,311,100,211
differ,311,181,130
invoic,310,308,2
resourc,310,273,37
internet,310,115,195
peopl,310,185,125
steve,309,308,1
chokshi,308,308,0
correct,307,293,14
width,307,1,306
sure,307,268,39
posit,307,169,138
industri,306,179,127
unit,306,194,112
copi,305,196,109
fee,305,273,32
result,305,72,233
good,305,177,128
still,305,240,65
risk,305,132,173
septemb,305,287,18
suppli,301,258,43
tom,301,294,7
right,300,171,129
duke,299,295,4
intern,298,82,216
fyi,298,298,0
perform,295,132,163
site,294,104,190
said,294,170,124
info,294,105,189
keep,293,208,85
go,292,214,78
decemb,292,278,14
hplc,292,292,0
novemb,291,280,11
cost,290,168,122
feb,290,271,19
global,289,238,51
control,289,194,95
believ,288,132,156
wellhead,287,287,0
detail,287,152,135
without,286,92,194
spot,286,273,13
extend,285,246,39
monday,285,256,29
support,285,207,78
februari,284,275,9
center,283,131,152
ship,278,91,187
way,278,172,106
put,277,228,49
possibl,277,217,60
corpor,277,178,99
clyne,276,276,0
ask,275,224,51
access,274,196,78
window,274,51,223
grave,273,267,6
eastran,273,273,0
million,273,48,225
respons,273,231,42
sell,272,167,105
visit,270,106,164
lloyd,270,269,1
natur,269,190,79
even,269,138,131
news,265,41,224
share,265,60,205
brian,265,259,6
jan,265,233,32
unifi,263,262,1
employe,263,251,12
begin,262,215,47
power,261,148,113
aol,260,253,7
advis,260,180,80
young,259,214,45
softwar,258,41,217
data,257,197,60
book,256,207,49
limit,255,128,127
commun,254,161,93
produc,252,186,66
repli,252,80,172
demand,252,220,32
past,251,81,170
lee,250,247,3
locat,249,187,62
mobil,249,141,108
bill,248,186,62
align,248,14,234
abl,247,194,53
parti,245,136,109
must,243,151,92
form,243,165,78
great,243,132,111
computron,242,0,242
world,240,52,188
section,240,85,155
program,240,113,127
everi,239,125,114
thursday,238,222,16
part,237,129,108
much,237,132,105
act,237,31,206
txu,235,235,0
approv,234,139,95
agre,234,202,32
record,234,166,68
stop,233,66,167
done,231,204,27
meyer,231,230,1
prior,229,161,68
technolog,229,42,187
option,228,171,57
get,228,158,70
howard,227,225,2
microsoft,226,19,207
gather,226,197,29
long,226,101,125
jame,225,214,11
hank,225,221,4
face,224,22,202
hplno,224,224,0
notic,223,126,97
say,222,118,104
zero,222,202,20
read,222,109,113
final,222,167,55
thing,222,134,88
rita,222,222,0
lannou,221,221,0
dec,219,194,25
via,219,110,109
web,219,128,91
tuesday,218,200,18
dollar,218,61,157
field,218,182,36
feel,216,119,97
assist,216,140,76
profession,215,21,194
handl,215,200,15
type,214,143,71
financi,213,124,89
understand,212,152,60
applic,212,122,90
color,212,5,207
charg,211,138,73
releas,211,95,116
talk,210,164,46
direct,209,137,72
period,209,194,15
deliv,208,149,59
someon,207,167,40
track,207,168,39
pop,206,180,26
thru,206,200,6
content,206,79,127
error,206,148,58
featur,205,54,151
user,202,127,75
mike,201,197,4
fact,201,46,155
soon,201,158,43
doc,201,195,6
firm,201,178,23
border,200,4,196
add,200,149,51
low,200,46,154
hope,200,156,44
import,199,133,66
buyback,199,199,0
pef,198,198,0
enronxg,197,197,0
paid,197,129,68
close,197,139,58
spreadsheet,196,196,0
wynn,196,194,2
weissman,196,196,0
cec,195,195,0
pipe,195,191,4
allen,195,188,7
cover,195,165,30
katherin,195,194,1
gc,195,195,0
camp,194,191,3
indic,194,98,96
index,194,85,109
anyth,193,169,24
event,192,50,142
caus,192,93,99
public,191,49,142
payment,191,131,60
either,191,159,32
carlo,191,190,1
jone,191,177,14
anoth,191,149,42
page,190,141,49
href,190,0,190
hplo,190,190,0
regist,190,73,117
select,189,112,77
famili,188,62,126
valid,188,168,20
relat,188,128,60
logist,188,184,4
thu,187,165,22
mean,187,79,108
advic,186,26,160
letter,186,122,64
intend,186,105,81
sourc,186,40,146
explor,185,112,73
concern,185,139,46
allow,185,133,52
medic,185,11,174
william,185,178,7
reflect,185,178,7
iferc,185,185,0
viagra,184,0,184
except,184,169,15
run,184,131,53
three,184,116,68
materi,183,36,147
present,182,108,74
imag,182,77,105
adjust,181,175,6
love,181,86,95
old,180,136,44
top,180,60,120
swing,178,173,5
tax,178,133,45
imbal,178,177,1
wednesday,178,168,10
survey,177,171,6
anita,177,177,0
repres,177,82,95
websit,176,83,93
area,174,92,82
contain,174,63,111
kati,174,171,3
item,174,153,21
